Isolate	Country	Isolate_short_name
hCoV-19/Guangdong/GDFS2020054-P0005/2020|EPI_ISL_413850	China	Guangdong / GDFS2020054-P0005 / 2020
hCoV-19/Spain/Valencia/2/2020|EPI_ISL_414496	Spain	Spain / Valencia / 2 / 2020
hCoV-19/Netherlands/Limburg_6/2020|EPI_ISL_414427	Netherlands	Netherlands / Limburg_6 / 2020
hCoV-19/USA/CA-CDPH-UC8/2020|EPI_ISL_413926	USA	USA / CA-CDPH-UC8 / 2020
hCoV-19/USA/CA-CDPH-UC5/2020|EPI_ISL_413922	USA	USA / CA-CDPH-UC5 / 2020
hCoV-19/France/RA739/2020|EPI_ISL_410486	France	France / RA739 / 2020
hCoV-19/Netherlands/NoordBrabant_19/2020|EPI_ISL_414459	Netherlands	Netherlands / NoordBrabant_19 / 2020
hCoV-19/Netherlands/ZuidHolland_6/2020|EPI_ISL_414466	Netherlands	Netherlands / ZuidHolland_6 / 2020
hCoV-19/Netherlands/NoordBrabant_13/2020|EPI_ISL_414453	Netherlands	Netherlands / NoordBrabant_13 / 2020
hCoV-19/Netherlands/ZuidHolland_5/2020|EPI_ISL_414465	Netherlands	Netherlands / ZuidHolland_5 / 2020
hCoV-19/Netherlands/NoordBrabant_4/2020|EPI_ISL_414450	Netherlands	Netherlands / NoordBrabant_4 / 2020
hCoV-19/Netherlands/NoordBrabant_15/2020|EPI_ISL_414455	Netherlands	Netherlands / NoordBrabant_15 / 2020
hCoV-19/Netherlands/NoordBrabant_10/2020|EPI_ISL_414431	Netherlands	Netherlands / NoordBrabant_10 / 2020
hCoV-19/Guangdong/GDFS2020052-P0025/2020|EPI_ISL_413875	China	Guangdong / GDFS2020052-P0025 / 2020
hCoV-19/Spain/Valencia1/2020|EPI_ISL_414495	Spain	Spain / Valencia1 / 2020
hCoV-19/USA/WA13-UW9/2020|EPI_ISL_413601	USA	USA / WA13-UW9 / 2020
hCoV-19/USA/CA-CDPH-UC4/2020|EPI_ISL_413561	USA	USA / CA-CDPH-UC4 / 2020
hCoV-19/USA/NY1-PV08001/2020|EPI_ISL_414476	USA	USA / NY1-PV08001 / 2020
hCoV-19/USA/CA-CDPH-UC1/2020|EPI_ISL_413557	USA	USA / CA-CDPH-UC1 / 2020
hCoV-19/USA/CA-CDPH-UC3/2020|EPI_ISL_413559	USA	USA / CA-CDPH-UC3 / 2020
hCoV-19/USA/UC-CDPH-UC11/2020|EPI_ISL_413931	USA	USA / UC-CDPH-UC11 / 2020
hCoV-19/USA/CA-CDPH-UC2/2020|EPI_ISL_413558	USA	USA / CA-CDPH-UC2 / 2020
hCoV-19/South Korea/KUMC02/2020|EPI_ISL_413018	South Korea	South Korea / KUMC02 / 2020
hCoV-19/USA/CA2/2020|EPI_ISL_406036	USA	USA / CA2 / 2020
hCoV-19/France/IDF0372/2020|EPI_ISL_406596	France	France / IDF0372 / 2020
hCoV-19/France/IDF0373/2020|EPI_ISL_406597	France	France / IDF0373 / 2020
hCoV-19/France/IDF0372-isl/2020|EPI_ISL_410720	France	France / IDF0372-isl / 2020
hCoV-19/France/IDF0386-islP1/2020|EPI_ISL_411219	France	France / IDF0386-islP1 / 2020
hCoV-19/France/IDF0386-islP3/2020|EPI_ISL_411220	France	France / IDF0386-islP3 / 2020
hCoV-19/Germany/Baden-Wuerttemberg-1/2020|EPI_ISL_412912	Germany	Germany / Baden-Wuerttemberg-1 / 2020
hCoV-19/Italy/UniSR1/2020|EPI_ISL_413489	Italy	Italy / UniSR1 / 2020
hCoV-19/Germany/BavPat1/2020|EPI_ISL_406862	Germany	Germany / BavPat1 / 2020
hCoV-19/Italy/CDG1/2020|EPI_ISL_412973	Italy	Italy / CDG1 / 2020
hCoV-19/USA/CA-CDPH-UC6/2020|EPI_ISL_413924	USA	USA / CA-CDPH-UC6 / 2020
hCoV-19/USA/WA-UW16/2020|EPI_ISL_414364	USA	USA / WA-UW16 / 2020
hCoV-19/USA/WA14-UW10/2020|EPI_ISL_413649	USA	USA / WA14-UW10 / 2020
hCoV-19/USA/CA-CDPH-UC7/2020|EPI_ISL_413925	USA	USA / CA-CDPH-UC7 / 2020
hCoV-19/USA/WA11-UW7/2020|EPI_ISL_413562	USA	USA / WA11-UW7 / 2020
hCoV-19/USA/WA17-UW13/2020|EPI_ISL_413652	USA	USA / WA17-UW13 / 2020
hCoV-19/USA/WA9-UW6/2020|EPI_ISL_413487	USA	USA / WA9-UW6 / 2020
hCoV-19/USA/WA-UW19/2020|EPI_ISL_414367	USA	USA / WA-UW19 / 2020
hCoV-19/USA/WA-UW17/2020|EPI_ISL_414365	USA	USA / WA-UW17 / 2020
hCoV-19/USA/CruiseA-24/2020|EPI_ISL_414483	USA	USA / CruiseA-24 / 2020
hCoV-19/USA/CruiseA-23/2020|EPI_ISL_414482	USA	USA / CruiseA-23 / 2020
hCoV-19/USA/CruiseA-21/2020|EPI_ISL_414480	USA	USA / CruiseA-21 / 2020
hCoV-19/USA/MA1/2020|EPI_ISL_409067	USA	USA / MA1 / 2020
hCoV-19/Japan/KY-V-029/2020|EPI_ISL_408669	Japan	Japan / KY-V-029 / 2020
hCoV-19/USA/CruiseA-14/2020|EPI_ISL_413619	USA	USA / CruiseA-14 / 2020
hCoV-19/USA/CA3/2020|EPI_ISL_408008	USA	USA / CA3 / 2020
hCoV-19/USA/CA4/2020|EPI_ISL_408009	USA	USA / CA4 / 2020
hCoV-19/USA/CruiseA-6/2020|EPI_ISL_413611	USA	USA / CruiseA-6 / 2020
hCoV-19/USA/CruiseA-7/2020|EPI_ISL_413612	USA	USA / CruiseA-7 / 2020
hCoV-19/Japan/AI/I-004/2020|EPI_ISL_407084	Japan	Japan / AI / I-004 / 2020
hCoV-19/USA/CA5/2020|EPI_ISL_408010	USA	USA / CA5 / 2020
hCoV-19/USA/CruiseA-1/2020|EPI_ISL_413606	USA	USA / CruiseA-1 / 2020
hCoV-19/USA/CruiseA-2/2020|EPI_ISL_413607	USA	USA / CruiseA-2 / 2020
hCoV-19/USA/CruiseA-4/2020|EPI_ISL_413609	USA	USA / CruiseA-4 / 2020
hCoV-19/Korea/KCDC12/2020|EPI_ISL_412872	South Korea	Korea / KCDC12 / 2020
hCoV-19/Wuhan/WIV02/2019|EPI_ISL_402127	China	Wuhan / WIV02 / 2019
hCoV-19/France/IDF0626/2020|EPI_ISL_408431	France	France / IDF0626 / 2020
hCoV-19/USA/CruiseA-18/2020|EPI_ISL_413623	USA	USA / CruiseA-18 / 2020
hCoV-19/USA/WI1/2020|EPI_ISL_408670	USA	USA / WI1 / 2020
hCoV-19/USA/CA8/2020|EPI_ISL_411955	USA	USA / CA8 / 2020
hCoV-19/USA/CA9/2020|EPI_ISL_412862	USA	USA / CA9 / 2020
hCoV-19/USA/CruiseA-8/2020|EPI_ISL_413613	USA	USA / CruiseA-8 / 2020
hCoV-19/USA/CruiseA-10/2020|EPI_ISL_413615	USA	USA / CruiseA-10 / 2020
hCoV-19/USA/CruiseA-11/2020|EPI_ISL_413616	USA	USA / CruiseA-11 / 2020
hCoV-19/USA/CruiseA-12/2020|EPI_ISL_413617	USA	USA / CruiseA-12 / 2020
hCoV-19/USA/CruiseA-17/2020|EPI_ISL_413622	USA	USA / CruiseA-17 / 2020
hCoV-19/USA/CA6/2020|EPI_ISL_410044	USA	USA / CA6 / 2020
hCoV-19/Wuhan/IVDC-HB-01/2019|EPI_ISL_402119	China	Wuhan / IVDC-HB-01 / 2019
hCoV-19/Wuhan/WIV04/2019|EPI_ISL_402124	China	Wuhan / WIV04 / 2019
hCoV-19/Japan/NA-20-05-1/2020|EPI_ISL_410531	Japan	Japan / NA-20-05-1 / 2020
hCoV-19/Japan/OS-20-07-1/2020|EPI_ISL_410532	Japan	Japan / OS-20-07-1 / 2020
hCoV-19/USA/CruiseA-3/2020|EPI_ISL_413608	USA	USA / CruiseA-3 / 2020
hCoV-19/USA/CruiseA-5/2020|EPI_ISL_413610	USA	USA / CruiseA-5 / 2020
hCoV-19/USA/CruiseA-9/2020|EPI_ISL_413614	USA	USA / CruiseA-9 / 2020
hCoV-19/USA/CruiseA-13/2020|EPI_ISL_413618	USA	USA / CruiseA-13 / 2020
hCoV-19/USA/CruiseA-15/2020|EPI_ISL_413620	USA	USA / CruiseA-15 / 2020
hCoV-19/USA/CruiseA-16/2020|EPI_ISL_413621	USA	USA / CruiseA-16 / 2020
hCoV-19/USA/CruiseA-19/2020|EPI_ISL_414479	USA	USA / CruiseA-19 / 2020
hCoV-19/USA/CruiseA-22/2020|EPI_ISL_414481	USA	USA / CruiseA-22 / 2020
hCoV-19/South Korea/SNU01/2020|EPI_ISL_411929	South Korea	South Korea / SNU01 / 2020
hCoV-19/Wuhan/HBCDC-HB-05/2020|EPI_ISL_412981	China	Wuhan / HBCDC-HB-05 / 2020
hCoV-19/USA/CruiseA-26/2020|EPI_ISL_414485	USA	USA / CruiseA-26 / 2020
hCoV-19/USA/WA3-UW1/2020|EPI_ISL_413025	USA	USA / WA3-UW1 / 2020
hCoV-19/France/IDF0515-isl/2020|EPI_ISL_410984	France	France / IDF0515-isl / 2020
hCoV-19/France/IDF0571/2020|EPI_ISL_411218	France	France / IDF0571 / 2020
hCoV-19/France/IDF0515/2020|EPI_ISL_408430	France	France / IDF0515 / 2020
hCoV-19/Japan/Hu_DP_Kng_19-027/2020|EPI_ISL_412969	Japan	Japan / Hu_DP_Kng_19-027 / 2020
hCoV-19/Japan/TK/20-31-3/2020|EPI_ISL_413459	Japan	Japan / TK / 20-31-3 / 2020
hCoV-19/Italy/INMI1-isl/2020|EPI_ISL_410545	Italy	Italy / INMI1-isl / 2020
hCoV-19/Japan/Hu_DP_Kng_19-020/2020|EPI_ISL_412968	Japan	Japan / Hu_DP_Kng_19-020 / 2020
hCoV-19/USA/CruiseA-25/2020|EPI_ISL_414484	USA	USA / CruiseA-25 / 2020
hCoV-19/Italy/INMI1-cs/2020|EPI_ISL_410546	Italy	Italy / INMI1-cs / 2020
hCoV-19/Italy/SPL1/2020 |EPI_ISL_412974	Italy	Italy / SPL1 / 2020 
hCoV-19/USA/WA2/2020|EPI_ISL_412970	USA	USA / WA2 / 2020
hCoV-19/USA/WA-S2/2020|EPI_ISL_413456	USA	USA / WA-S2 / 2020
hCoV-19/USA/WA-S3/2020|EPI_ISL_413560	USA	USA / WA-S3 / 2020
hCoV-19/South Korea/KUMC01/2020|EPI_ISL_413017	South Korea	South Korea / KUMC01 / 2020
hCoV-19/Korea/KCDC07/2020|EPI_ISL_412871	South Korea	Korea / KCDC07 / 2020
hCoV-19/South Korea/KUMC05/2020|EPI_ISL_413515	South Korea	South Korea / KUMC05 / 2020
hCoV-19/Korea/KCDC06/2020|EPI_ISL_412870	South Korea	Korea / KCDC06 / 2020
hCoV-19/Beijing/235/2020|EPI_ISL_413521	China	Beijing / 235 / 2020
hCoV-19/South Korea/KUMC03/2020|EPI_ISL_413513	South Korea	South Korea / KUMC03 / 2020
hCoV-19/South Korea/KUMC04/2020|EPI_ISL_413514	South Korea	South Korea / KUMC04 / 2020
hCoV-19/South Korea/KUMC06/2020|EPI_ISL_413516	South Korea	South Korea / KUMC06 / 2020
hCoV-19/USA/CA-CDPH-UC9/2020|EPI_ISL_413928	USA	USA / CA-CDPH-UC9 / 2020
hCoV-19/USA/WA-UW21/2020|EPI_ISL_414369	USA	USA / WA-UW21 / 2020
hCoV-19/USA/WA8-UW5/2020|EPI_ISL_413486	USA	USA / WA8-UW5 / 2020
hCoV-19/USA/WA4-UW2/2020|EPI_ISL_413455	USA	USA / WA4-UW2 / 2020
hCoV-19/USA/WA-UW15/2020|EPI_ISL_414363	USA	USA / WA-UW15 / 2020
hCoV-19/USA/WA-UW20/2020|EPI_ISL_414368	USA	USA / WA-UW20 / 2020
hCoV-19/USA/WA15-UW11/2020|EPI_ISL_413650	USA	USA / WA15-UW11 / 2020
hCoV-19/USA/WA16-UW12/2020|EPI_ISL_413651	USA	USA / WA16-UW12 / 2020
hCoV-19/USA/WA12-UW8/2020|EPI_ISL_413563	USA	USA / WA12-UW8 / 2020
hCoV-19/USA/WA6-UW3/2020|EPI_ISL_413457	USA	USA / WA6-UW3 / 2020
hCoV-19/USA/WA7-UW4/2020|EPI_ISL_413458	USA	USA / WA7-UW4 / 2020
hCoV-19/USA/WA18-UW14/2020|EPI_ISL_413653	USA	USA / WA18-UW14 / 2020
hCoV-19/USA/WA-UW18/2020|EPI_ISL_414366	USA	USA / WA-UW18 / 2020
hCoV-19/USA/IL1/2020|EPI_ISL_404253	USA	USA / IL1 / 2020
hCoV-19/Tianmen/HBCDC-HB-07/2020|EPI_ISL_412983	China	Tianmen / HBCDC-HB-07 / 2020
hCoV-19/Anhui/SZ005/2020|EPI_ISL_413485	China	Anhui / SZ005 / 2020
hCoV-19/Korea/KCDC24/2020|EPI_ISL_412873	South Korea	Korea / KCDC24 / 2020
hCoV-19/USA/CA1/2020|EPI_ISL_406034	USA	USA / CA1 / 2020
hCoV-19/USA/IL2/2020|EPI_ISL_410045	USA	USA / IL2 / 2020
hCoV-19/Korea/KCDC05/2020|EPI_ISL_412869	South Korea	Korea / KCDC05 / 2020
hCoV-19/USA/TX1/2020|EPI_ISL_411956	USA	USA / TX1 / 2020
hCoV-19/USA/AZ1/2020|EPI_ISL_406223	USA	USA / AZ1 / 2020
hCoV-19/Japan/TY-WK-012/2020|EPI_ISL_408665	Japan	Japan / TY-WK-012 / 2020
hCoV-19/Japan/TY-WK-521/2020|EPI_ISL_408667	Japan	Japan / TY-WK-521 / 2020
hCoV-19/Japan/TY-WK-501/2020|EPI_ISL_408666	Japan	Japan / TY-WK-501 / 2020
hCoV-19/USA/CA7/2020|EPI_ISL_411954	USA	USA / CA7 / 2020
hCoV-19/USA/WA1/2020|EPI_ISL_404895	USA	USA / WA1 / 2020
hCoV-19/USA/WA1-A12/2020|EPI_ISL_407214	USA	USA / WA1-A12 / 2020
hCoV-19/USA/WA1-F6/2020|EPI_ISL_407215	USA	USA / WA1-F6 / 2020
hCoV-19/China/WF0015/2020|EPI_ISL_413729	China	China / WF0015 / 2020
hCoV-19/Guangdong/SZ-N59-P0049/2020|EPI_ISL_413872	China	Guangdong / SZ-N59-P0049 / 2020
hCoV-19/Guangdong/2020XN4291-P0038/2020|EPI_ISL_413889	China	Guangdong / 2020XN4291-P0038 / 2020
hCoV-19/Guangdong/GD2020115-P0009/2020|EPI_ISL_413884	China	Guangdong / GD2020115-P0009 / 2020
hCoV-19/Guangdong/2020XN4239-P0034/2020|EPI_ISL_413888	China	Guangdong / 2020XN4239-P0034 / 2020
